课程序号,课程代码,课程名称,课程类别,学历层次,学生类别,教学班名称,排课信息,教师工号,授课教师,教师所属部门,星期几,第几节,多少周,地点,授课语言,人数上限,实际人数,起始周,结束周,周数,周课时,总课时,学分,备注
0505,100628,《资本论》选读,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,1,0,1,16,16,2,32,2,
0517,100628,《资本论》选读,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,0,0,1,16,16,2,32,2,
0537,102915,《资本论》选读,必修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,20,0,1,16,16,2,32,1.5,
0547,100628,《资本论》选读,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,7,0,1,16,16,2,32,2,
0556,100628,《资本论》选读,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,2,0,1,16,16,2,32,2,
1120,100628,《资本论》选读,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,0,0,1,16,16,2,32,2,
1320,100628,《资本论》选读,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,1,0,1,16,16,2,32,2,
0838,101561,博弈论与信息经济学,选修课,大学本科,本科生 ,22保险精算1班,,,,,,,,,,5,0,1,16,16,3,48,3,
0855,101561,博弈论与信息经济学,选修课,大学本科,本科生 ,22保险精算2班,,,,,,,,,,6,0,1,16,16,3,48,3,
1113,101561,博弈论与信息经济学,必修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,27,0,1,16,16,3,48,3,
1751,101561,博弈论与信息经济学,必修课,大学本科,本科生 ,23经济学拔尖班,,,,,,,,,,21,0,1,16,16,3,48,3,
1787,101561,博弈论与信息经济学,必修课,大学本科,本科生 ,23经济数学双学位班,,,,,,,,,,40,0,1,16,16,3,48,3,
1795,101561,博弈论与信息经济学,必修课,大学本科,本科生 ,23数字经济实验班,,,,,,,,,,30,0,1,16,16,3,48,3,
1910,101561,博弈论与信息经济学,选修课,大学本科,本科生 ,23投资学1班,,,,,,,,,,18,0,1,16,16,3,48,3,
1915,101561,博弈论与信息经济学,选修课,大学本科,本科生 ,23投资学2班,,,,,,,,,,18,0,1,16,16,3,48,3,
1957,101561,博弈论与信息经济学,必修课,大学本科,本科生 ,23金融科技拔尖班,,,,,,,,,,20,0,1,16,16,3,48,3,
0507,102901,大数据经济学,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,6,0,1,16,16,2,32,2,
0521,102901,大数据经济学,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,3,0,1,16,16,2,32,2,
0528,102901,大数据经济学,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,5,0,1,16,16,2,32,2,
0541,102901,大数据经济学,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,1,0,1,16,16,2,32,2,
0565,102901,大数据经济学,必修课,大学本科,本科生 ,22世界经济,,,,,,,,,,39,0,1,16,16,2,32,2,
1326,102901,大数据经济学,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,5,0,1,16,16,2,32,2,
0004,103243,高等代数II,通识模块四,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,2,32,2,
0011,103243,高等代数II,通识模块四,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,2,32,2,
0018,103243,高等代数II,通识模块四,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,2,32,2,
0498,101202,高级微观经济学,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,3,0,1,16,16,2,32,2,
0522,101202,高级微观经济学,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,0,0,1,16,16,2,32,2,
0536,101202,高级微观经济学,必修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,20,0,1,16,16,2,32,2,
0548,101202,高级微观经济学,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,0,0,1,16,16,2,32,2,
0557,101202,高级微观经济学,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,0,0,1,16,16,2,32,2,
1324,101202,高级微观经济学,选修课,大学本科,本科生 ,22经济数学双学位班,,,,,,,,,,0,0,1,16,16,2,32,2,
1383,100096,宏观经济学,通识模块四,大学本科,本科生 ,23国际金融法,,,,,,,,,,27,0,1,16,16,2,32,2,
0889,108402,计量经济学,选修课,大学本科,本科生 ,22电子商务,,,,,,,,,,6,0,1,16,16,3,48,3,
0914,108402,计量经济学,必修课,大学本科,本科生 ,22交叉科学实验班,,,,,,,,,,17,0,1,16,16,3,48,3,
1750,108402,计量经济学,必修课,大学本科,本科生 ,23经济学拔尖班,,,,,,,,,,21,0,1,16,16,3,48,3,
1760,108402,计量经济学,必修课,大学本科,本科生 ,23经济学1班,,,,,,,,,,20,0,1,16,16,3,48,3,
1769,108402,计量经济学,必修课,大学本科,本科生 ,23经济学2班,,,,,,,,,,26,0,1,16,16,3,48,3,
1778,108402,计量经济学,必修课,大学本科,本科生 ,23经济学3班,,,,,,,,,,22,0,1,16,16,3,48,3,
1785,108402,计量经济学,必修课,大学本科,本科生 ,23经济数学双学位班,,,,,,,,,,40,0,1,16,16,3,48,3,
1794,108402,计量经济学,必修课,大学本科,本科生 ,23数字经济实验班,,,,,,,,,,30,0,1,16,16,3,48,3,
1741,105364,计量经济学（中外）,必修课,大学本科,本科生 ,23数量经济（中外）,,,,,,,,,,31,0,1,16,16,3,48,3,
0499,104161,健康经济学,选修课,大学本科,本科生 ,22数量经济（中外）,,,,,,,,,,6,0,1,16,16,2,32,2,
0512,104161,健康经济学,选修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,1,0,1,16,16,2,32,2,
0527,104161,健康经济学,选修课,大学本科,本科生 ,22经济学基地班,,,,,,,,,,11,0,1,16,16,2,32,2,
0540,104161,健康经济学,选修课,大学本科,本科生 ,22劳动经济,,,,,,,,,,3,0,1,16,16,2,32,2,
0554,104161,健康经济学,选修课,大学本科,本科生 ,22世界经济,,,,,,,,,,19,0,1,16,16,2,32,2,
1128,101595,金融衍生品理论与应用,选修课,大学本科,本科生 ,22数学经济双学位班,,,,,,,,,,25,0,1,16,16,2,32,2,
0525,100666,经济学学科前沿专题,必修课,大学本科,本科生 ,22经济学拔尖班,,,,,,,,,,20,0,1,16,16,2,32,2,
0007,100419,经济学原理,必修课,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,3,48,3,
0014,100419,经济学原理,必修课,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,3,48,3,
0021,100419,经济学原理,必修课,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,3,48,3,
0035,100419,经济学原理,必修课,大学本科,本科生 ,24数量经济,,,,,,,,,,40,0,1,16,16,3,48,3,
0009,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学1班,,,,,,,,,,26,0,1,16,16,2,24,1.5,
0016,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学2班,,,,,,,,,,25,0,1,16,16,2,24,1.5,
0023,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济学3班,,,,,,,,,,28,0,1,16,16,2,24,1.5,
0030,102862,经济学原理、思想与方法,必修课,大学本科,本科生 ,24经济数学双学位班,,,,,,,,,,39,0,1,16,16,2,24,1.5,
